Model,Developer,Release date,Android version at release,Ref.
Meizu 16T,Meizu,2019/10,"Android 9.0 ""Pie""",[336]
Meizu 17/Pro,Meizu,2020/05,Android 10,[337][338]
Motorola Cliq,Motorola,2009/10,"Android 1.5 ""Cupcake""",[339]
Motorola Droid,Motorola,2009/11,"Android 2.0 ""Eclair""",[340]
Motorola Backflip,Motorola,2010/03,"Android 1.5 ""Cupcake""",[341]
Motorola Flipout,Motorola,2010/06,"Android 2.0 ""Eclair""",[342]
Motorola Droid X,Motorola,2010/07,"Android 2.0 ""Eclair""",[343]
Motorola Charm,Motorola,2010/08,"Android 2.0 ""Eclair""",[344]
Motorola Droid 2,Motorola,2010/08,"Android 2.2 ""Froyo""",[345]
Motorola Defy,Motorola,2010/10,"Android 2.0 ""Eclair""",[346]
Motorola Droid Pro,Motorola,2010/11,"Android 2.2 ""Froyo""",[347]
Motorola Atrix 4G,Motorola Mobility,2011/02,"Android 2.3 ""Gingerbread""",[348]
Motorola Droid 3,Motorola Mobility,2011/07,"Android 2.3 ""Gingerbread""",[349]
Motorola Droid Bionic,Motorola Mobility,2011/09,"Android 2.3 ""Gingerbread""",[350]
Motorola Atrix 2,Motorola Mobility,2011/10,"Android 2.3 ""Gingerbread""",[351]
Motorola Droid Razr,Motorola Mobility,2011/11,"Android 2.3 ""Gingerbread""",[352]
Motorola Droid 4,Motorola Mobility,2012/02,"Android 2.3 ""Gingerbread""",[353]
Motorola Atrix HD,Motorola Mobility,2012/07,"Android 4.0 ""Ice Cream Sandwich""",[354]
Motorola Photon Q,Motorola Mobility,2012/08,"Android 4.0 ""Ice Cream Sandwich""",[355]
Motorola Droid Razr M,Motorola Mobility,2012/09,"Android 4.0 ""Ice Cream Sandwich""",[356]
Motorola Droid Razr HD,Motorola Mobility,2012/10,"Android 4.0 ""Ice Cream Sandwich""",[357]
Motorola Droid Maxx,Motorola Mobility,2013/08,"Android 4.1 ""Jelly Bean""",[358]
Motorola Droid Mini,Motorola Mobility,2013/08,"Android 4.1 ""Jelly Bean""",[359]
Moto X (1st generation),Motorola Mobility,2013/08,"Android 4.1 ""Jelly Bean""",[360]
Moto G (1st generation),Motorola Mobility,2013/11,"Android 4.1 ""Jelly Bean""",[361]
Moto E (1st generation),Motorola Mobility,2014/05,"Android 4.4 ""KitKat""",[362]
Moto G (2nd generation),Motorola Mobility,2014/09,"Android 4.4 ""KitKat""",[363]
Moto X (2nd generation),Motorola Mobility,2014/09,"Android 4.4 ""KitKat""",[364]
Motorola Droid Turbo,Motorola Mobility,2014/10,"Android 4.4 ""KitKat""",[365]
Moto E (2nd generation),Motorola Mobility,2015/02,"Android 5.0 ""Lollipop""",[366]
Moto G (3rd generation),Motorola Mobility,2015/07,"Android 5.0 ""Lollipop""",[367]
Moto X Play,Motorola Mobility,2015/07,"Android 5.0 ""Lollipop""",[368]
Moto X Style,Motorola Mobility,2015/09,"Android 5.0 ""Lollipop""",[369]
Moto G4,Motorola Mobility,2016/05,"Android 6.0 ""Marshmallow""",[370]
Moto E3,Motorola Mobility,2016/07,"Android 6.0 ""Marshmallow""",[371]
Moto Z,Motorola Mobility,2016/09,"Android 6.0 ""Marshmallow""",[372]
